,name,price,item
8,"PlayStation 2 SCPH-30001 R PS2 Fat - 7 Games, 1 Controller - Tested - READ",,Playstation 2
9,2 WIRELESS CONTROLLERS Sony PS2 SLIM Game System Gaming Console PLAYSTATION-2,154.95,Playstation 2
10,Sony Playstation 2  with games and gamesharkTESTED AND WORKING,,Playstation 2
11,Sony Playstation 2 PS2 - SCPH-39001,,Playstation 2
12,PlayStation 2 PS2 Slim SCPH-77001 Bundle / Tested and Working,69.99,Playstation 2
13,Sony Playstation 2 PS2 Slim - SCPH-79001,,Playstation 2
14,Sony PlayStation 2 PS2 FAT Black Console Game System ONLY SCPH-30001 or 39001,59.99,Playstation 2
15,Sony PlayStation 2 Online Pack Console complete in box with sealed memory card,,Playstation 2
16,Sony Playstation 2 PS2 Slim - SCPH-75001,,Playstation 2
17,"Sony PlayStation 2 slim Console Bundle with 9 Games, 2 Controllers, memory card.",,Playstation 2
18,"Sony PlayStation 2 PS2 ""MINT"" Fat Console System Games and Accessory lot",,Playstation 2
19,OEM Sony PS2 SLIM Video Game System Gaming Bundle Console Set Playstation-2 Mini,139.95,Playstation 2
20,PlayStation 2 PS2 Slim Launch Edition Charcoal Black Console (SCPH-75001CB),,Playstation 2
21,Sony PlayStation 2 Slim (Silver) CIB COMPLETE IN BOX RARE TESTED & WORKING ,61.0,Playstation 2
22,Sony Playstation 2 PS2 Black Fat console with 1 Controller + Horizontal Stand,,Playstation 2
23,Sony PlayStation 2 Slim  PS2 Black Console with controller + Box + 9 games,,Playstation 2
24,PLAYSTATION 2 FAT PS2 2TB CUSTOM HDD FMCB w/ SATA ADAPTER,,Playstation 2
25,Sony Playstation 2 PS2 Fat SCPH-35001 w/ Memory Card@,,Playstation 2
26,"Sony Playstation 2 Slim (PS2) SILVER console  with box, games, controllers etc.",,Playstation 2
27,Fat Playstation 2 Bundle 23 Games Controller Memory Card ,,Playstation 2
28,"PS2 Playstation Console with all the hook-ups ,controller , HDD 40 Gb memory  ",,Playstation 2
29,"Playstation 2 Fat Console Bundle - PS2 Controller, 15 Games Memory Card Tested!",,Playstation 2
30,Sony PlayStation 2 Slim SCPH-75001 Launch Edition Charcoal Black Console,,Playstation 2
31,Sony Playstation 2 PS2 Slim - SCPH-75001,,Playstation 2
32,Sony PlayStation PS2 Gaming System Bundle Black Video Game Console,99.99,Playstation 2
33,Sony Playstation 2 Slim Bundle With 27 Games Controler Memory,,Playstation 2
34,Sony Playstation 2 PS2 Slim - SCPH-75001,,Playstation 2
35,Sony PlayStation 2 Slim Ceramic White Model SCPH-79001 CW Tested Working w/ Box,,Playstation 2
36,Sony PlayStation 2 Slim PS2 Console Bundle Black With 2 Controllers Tested,,Playstation 2
37,Sony PlayStation 2 Console SCPH-37000 Ocean Blue Color with BOX and Manual,200.0,Playstation 2
38,SONY PLAYSTATION 2 SLIM BLACK Complete Set with Box PAL Rare SCPH-90004 Console,298.5,Playstation 2
39,Sony PlayStation 2 Fat Console Bundle - TWO OEM Controllers!! Tested and Working,,Playstation 2
40,Sony playstation 2 ps2 fat console in original box with controller and mem card!,,Playstation 2
41,Ps2 Fat Console Bundle With 14 Games Tested Playstation 2,,Playstation 2
42,Sony PlayStation Launch Edition Gray Console SCPH-1001 7 Games 2 Controllers PS1,,Playstation 2
43,Sony PlayStation 2 Slim Launch Edition Charcoal Black Console Bundle(SCPH-77001),,Playstation 2
44,Playstation 2 PS2 Console Fat (SCPH-30001) With 2 Controllers and cables. ,74.99,Playstation 2
45,PlayStation 2 (PS2) Slim Launch Edition Black Console / System - SCPH-70001CB,,Playstation 2
46,"Sony Playstation 2 Slim SCPH-77001 w/ Accessories, 2x Controllers, 1x Game@",,Playstation 2
47,Sony Playstation 2 PS2 Slim Console SCPH-79001,,Playstation 2
48,Sony PlayStation 2 PS2 Slim Black Console + Cables Tested,,Playstation 2
49,Sony Playstation 2  PS2 Console only SCPH-37000 Ocean Blue ,134.98,Playstation 2
50,Sony Playstation 2 SCPH-39001 - Black - Console Only,59.95,Playstation 2
51,"PlayStation 2 SCPH-77006 PS2 Slim w/ Controller, 6 Games and 2 MemCards - Tested",,Playstation 2
52,Sony PlayStation 2 PS2 Fat Console System SCPH-39001 Bundle + 8 Gams + OEM Cable,40.0,Playstation 2
53,Sony Playstation 2 PS2 Slim - SCPH-70012,,Playstation 2
54,Playstation 2 Fat Console SCPH-30001 With Cables PS2 Lot [A1] TESTED WORKING,,Playstation 2
55,OEM Sony PS2 SLIM Video Game System Gaming Bundle Console Set Playstation 2,,Playstation 2
0,Sony PlayStation 3 Fat 80 GB Console Only Not Backwards Compatible Works,89.95,Playstation 3
1,Sony PlayStation 3 Fat 40 GB Console Only Not Backwards Compatible Works,79.95,Playstation 3
2,Sony Playstation 3 FAT 80GB Game Console CECHK01 Model Bundle,,Playstation 3
